"","survey_id","trap_type","BMU","Diet_percent_Herbivorous_Detritivorous","Diet_percent_Herbivorous_Macroalgal","Diet_percent_Omnivorous","Diet_percent_Planktivorous","Diet_percent_Carnivorous"
"20","2021-05-18 18:45:00 SS/MAY/SB/003/FF","Control","MAYUNGU",50,0,0,0,50
"21","2021-05-18 22:50:00 SS/MAY/SB/006/FF","Control","MAYUNGU",50,0,16.6666666666667,0,33.3333333333333
"22","2021-05-18 23:25:00 SS/MAY/SB/011/FF","Control","MAYUNGU",33.3333333333333,0,0,0,66.6666666666667
"23","2021-05-18 23:45:00 SS/MAY/SB/074/FF","Control","MAYUNGU",38.4615384615385,0,0,0,61.5384615384615
"24","2021-05-19 11:43:00 SS/MAY/SB/042/FF","Control","MAYUNGU",33.3333333333333,0,33.3333333333333,0,33.3333333333333
"25","2021-05-19 12:25:00 SS/MAY/SB/002/FF","Control","MAYUNGU",25,0,0,0,75
"26","2021-05-19 12:25:00 SS/MAY/SB/006/FF","Control","MAYUNGU",50,0,0,0,50
"27","2021-05-19 12:30:00 SS/MAY/SB/030/FF","Control","MAYUNGU",41.1764705882353,0,11.7647058823529,5.88235294117647,41.1764705882353
"28","2021-05-19 12:35:00 SS/MAY/SB/034/FF","Control","MAYUNGU",75,0,0,0,25
"29","2021-05-19 12:47:00 SS/MAY/SB/074/FF","Control","MAYUNGU",57.1428571428571,0,14.2857142857143,0,28.5714285714286
"30","2021-05-19 12:50:00 SS/MAY/SB/033/FF","Control","MAYUNGU",50,0,0,0,50
"31","2021-05-19 12:57:00 SS/MAY/SB/043/FF","Control","MAYUNGU",60,0,0,0,40
"32","2021-05-19 13:15:00 SS/MAY/SB/029/FF","Control","MAYUNGU",40,0,20,20,20
"33","2021-05-19 13:15:00 SS/MAY/SB/058/FF","Control","MAYUNGU",40,0,20,20,20
"34","2021-05-19 13:15:00 SS/MAY/SB/081/FF","Control","MAYUNGU",40,0,20,20,20
"35","2021-05-19 14:00:00 SS/UYO/SB/089/FF","Control","UYOMBO",42.8571428571429,0,42.8571428571429,0,14.2857142857143
"36","2021-05-19 14:00:00 SS/UYO/SB/095/FF","Control","UYOMBO",40,0,20,0,40
"37","2021-05-19 14:30:00 SS/UYO/SB/094/FF","Control","UYOMBO",62.5,0,12.5,0,25
"38","2021-05-19 15:00:00 SS/UYO/SB/090/FF","Control","UYOMBO",60,0,20,0,20
"39","2021-05-19 15:00:00 SS/UYO/SB/096/FF","Control","UYOMBO",60,0,20,0,20
"40","2021-05-19 15:00:00 SS/UYO/SB/100/FF","Control","UYOMBO",60,0,20,0,20
"41","2021-05-19 15:15:00 SS/UYO/SB/091/FF","Control","UYOMBO",60,0,40,0,0
"42","2021-05-20 12:20:00 SS/MAY/SB/028/FF","Control","MAYUNGU",60,0,0,0,40
"43","2021-05-20 12:25:00 SS/MAY/SB/034/FF","Control","MAYUNGU",50,0,10,0,40
"44","2021-05-20 12:30:00 SS/MAY/SB/006/FF","Control","MAYUNGU",60,0,0,0,40
